Campaign,Ad group,Keyword,Criterion Type,Final URL
SC | Solar e GD,Projeto solar e homologação,projeto de energia solar natal,Phrase,https://servicos.sousacosta.com.br/servicos/projeto-de-energia-solar/
SC | Solar e GD,Rateio e créditos,alteração de rateio,Phrase,https://servicos.sousacosta.com.br/servicos/alteracao-de-rateio/
SC | Solar e GD,Rateio e créditos,alteração de rateio,Exact,https://servicos.sousacosta.com.br/servicos/alteracao-de-rateio/
SC | Solar e GD,Rateio e créditos,rateio de créditos energia,Phrase,https://servicos.sousacosta.com.br/servicos/alteracao-de-rateio/
SC | Solar e GD,Rateio e créditos,rateio de créditos energia,Exact,https://servicos.sousacosta.com.br/servicos/alteracao-de-rateio/
SC | Solar e GD,Rateio e créditos,transferir créditos energia solar,Phrase,https://servicos.sousacosta.com.br/servicos/alteracao-de-rateio/
SC | Solar e GD,Rateio e créditos,transferir créditos energia solar,Exact,https://servicos.sousacosta.com.br/servicos/alteracao-de-rateio/
SC | Solar e GD,Rateio e créditos,mudar rateio energia solar,Phrase,https://servicos.sousacosta.com.br/servicos/alteracao-de-rateio/
SC | Solar e GD,Rateio e créditos,mudar rateio energia solar,Exact,https://servicos.sousacosta.com.br/servicos/alteracao-de-rateio/
SC | Solar e GD,Rateio e créditos,créditos energia solar vencendo,Phrase,https://servicos.sousacosta.com.br/servicos/alteracao-de-rateio/
SC | Solar e GD,Rateio e créditos,créditos energia solar vencendo,Exact,https://servicos.sousacosta.com.br/servicos/alteracao-de-rateio/
SC | Solar e GD,Rateio e créditos,rateio geração distribuída,Phrase,https://servicos.sousacosta.com.br/servicos/alteracao-de-rateio/
SC | Solar e GD,Rateio e créditos,rateio geração distribuída,Exact,https://servicos.sousacosta.com.br/servicos/alteracao-de-rateio/
SC | Solar e GD,Múltiplas unidades e EMUC,emuc energia solar,Phrase,https://servicos.sousacosta.com.br/servicos/multiplas-unidades-consumidoras/
SC | Solar e GD,Múltiplas unidades e EMUC,emuc energia solar,Exact,https://servicos.sousacosta.com.br/servicos/multiplas-unidades-consumidoras/
SC | Solar e GD,Múltiplas unidades e EMUC,energia solar condomínio natal,Phrase,https://servicos.sousacosta.com.br/servicos/multiplas-unidades-consumidoras/
SC | Solar e GD,Múltiplas unidades e EMUC,energia solar condomínio natal,Exact,https://servicos.sousacosta.com.br/servicos/multiplas-unidades-consumidoras/
SC | Solar e GD,Múltiplas unidades e EMUC,geração compartilhada rn,Phrase,https://servicos.sousacosta.com.br/servicos/multiplas-unidades-consumidoras/
SC | Solar e GD,Múltiplas unidades e EMUC,geração compartilhada rn,Exact,https://servicos.sousacosta.com.br/servicos/multiplas-unidades-consumidoras/
SC | Solar e GD,Múltiplas unidades e EMUC,múltiplas unidades consumidoras solar,Phrase,https://servicos.sousacosta.com.br/servicos/multiplas-unidades-consumidoras/
SC | Solar e GD,Múltiplas unidades e EMUC,múltiplas unidades consumidoras solar,Exact,https://servicos.sousacosta.com.br/servicos/multiplas-unidades-consumidoras/
SC | Solar e GD,Múltiplas unidades e EMUC,autoconsumo remoto,Phrase,https://servicos.sousacosta.com.br/servicos/multiplas-unidades-consumidoras/
SC | Solar e GD,Múltiplas unidades e EMUC,autoconsumo remoto,Exact,https://servicos.sousacosta.com.br/servicos/multiplas-unidades-consumidoras/
SC | Solar e GD,Múltiplas unidades e EMUC,energia solar para condomínios,Phrase,https://servicos.sousacosta.com.br/servicos/multiplas-unidades-consumidoras/
SC | Solar e GD,Múltiplas unidades e EMUC,energia solar para condomínios,Exact,https://servicos.sousacosta.com.br/servicos/multiplas-unidades-consumidoras/
SC | Ligação e Projetos,Ligação nova e padrão de entrada,projeto padrão de entrada,Phrase,https://servicos.sousacosta.com.br/servicos/projeto-unidade-baixa-tensao/
SC | Ligação e Projetos,Ligação nova e padrão de entrada,projeto padrão de entrada,Exact,https://servicos.sousacosta.com.br/servicos/projeto-unidade-baixa-tensao/
SC | Ligação e Projetos,Ligação nova e padrão de entrada,padrão de entrada de energia natal,Phrase,https://servicos.sousacosta.com.br/servicos/projeto-unidade-baixa-tensao/
SC | Ligação e Projetos,Ligação nova e padrão de entrada,padrão de entrada de energia natal,Exact,https://servicos.sousacosta.com.br/servicos/projeto-unidade-baixa-tensao/
SC | Ligação e Projetos,Ligação nova e padrão de entrada,ligação nova de energia rn,Phrase,https://servicos.sousacosta.com.br/servicos/projeto-unidade-baixa-tensao/
SC | Ligação e Projetos,Ligação nova e padrão de entrada,ligação nova de energia rn,Exact,https://servicos.sousacosta.com.br/servicos/projeto-unidade-baixa-tensao/
SC | Ligação e Projetos,Ligação nova e padrão de entrada,projeto de entrada de energia,Phrase,https://servicos.sousacosta.com.br/servicos/projeto-unidade-baixa-tensao/
SC | Ligação e Projetos,Ligação nova e padrão de entrada,projeto de entrada de energia,Exact,https://servicos.sousacosta.com.br/servicos/projeto-unidade-baixa-tensao/
SC | Ligação e Projetos,Ligação nova e padrão de entrada,padrão de energia reprovado,Phrase,https://servicos.sousacosta.com.br/servicos/projeto-unidade-baixa-tensao/
SC | Ligação e Projetos,Ligação nova e padrão de entrada,padrão de energia reprovado,Exact,https://servicos.sousacosta.com.br/servicos/projeto-unidade-baixa-tensao/
SC | Ligação e Projetos,Ligação nova e padrão de entrada,solicitação de ligação de energia,Phrase,https://servicos.sousacosta.com.br/servicos/projeto-unidade-baixa-tensao/
SC | Ligação e Projetos,Ligação nova e padrão de entrada,solicitação de ligação de energia,Exact,https://servicos.sousacosta.com.br/servicos/projeto-unidade-baixa-tensao/
SC | Ligação e Projetos,Ligação nova e padrão de entrada,projeto elétrico baixa tensão natal,Phrase,https://servicos.sousacosta.com.br/servicos/projeto-unidade-baixa-tensao/
SC | Ligação e Projetos,Ligação nova e padrão de entrada,projeto elétrico baixa tensão natal,Exact,https://servicos.sousacosta.com.br/servicos/projeto-unidade-baixa-tensao/
SC | Ligação e Projetos,Aumento de carga e trifásico,aumento de carga energia,Phrase,https://servicos.sousacosta.com.br/servicos/alteracao-de-carga-baixa-tensao/
SC | Ligação e Projetos,Aumento de carga e trifásico,aumento de carga energia,Exact,https://servicos.sousacosta.com.br/servicos/alteracao-de-carga-baixa-tensao/
SC | Ligação e Projetos,Aumento de carga e trifásico,alteração de carga,Phrase,https://servicos.sousacosta.com.br/servicos/alteracao-de-carga-baixa-tensao/
SC | Ligação e Projetos,Aumento de carga e trifásico,alteração de carga,Exact,https://servicos.sousacosta.com.br/servicos/alteracao-de-carga-baixa-tensao/
SC | Ligação e Projetos,Aumento de carga e trifásico,mudar para trifásico,Phrase,https://servicos.sousacosta.com.br/servicos/alteracao-de-carga-baixa-tensao/
SC | Ligação e Projetos,Aumento de carga e trifásico,mudar para trifásico,Exact,https://servicos.sousacosta.com.br/servicos/alteracao-de-carga-baixa-tensao/
SC | Ligação e Projetos,Aumento de carga e trifásico,trocar padrão para trifásico,Phrase,https://servicos.sousacosta.com.br/servicos/alteracao-de-carga-baixa-tensao/
SC | Ligação e Projetos,Aumento de carga e trifásico,trocar padrão para trifásico,Exact,https://servicos.sousacosta.com.br/servicos/alteracao-de-carga-baixa-tensao/
SC | Ligação e Projetos,Aumento de carga e trifásico,aumento de carga baixa tensão,Phrase,https://servicos.sousacosta.com.br/servicos/alteracao-de-carga-baixa-tensao/
SC | Ligação e Projetos,Aumento de carga e trifásico,aumento de carga baixa tensão,Exact,https://servicos.sousacosta.com.br/servicos/alteracao-de-carga-baixa-tensao/
SC | Ligação e Projetos,Aumento de carga e trifásico,carga instalada energia,Phrase,https://servicos.sousacosta.com.br/servicos/alteracao-de-carga-baixa-tensao/
SC | Ligação e Projetos,Aumento de carga e trifásico,carga instalada energia,Exact,https://servicos.sousacosta.com.br/servicos/alteracao-de-carga-baixa-tensao/
SC | Ligação e Projetos,Prédios e múltiplas UCs,projeto elétrico predial natal,Phrase,https://servicos.sousacosta.com.br/servicos/projeto-multiplas-unidades-baixa-tensao/
SC | Ligação e Projetos,Prédios e múltiplas UCs,projeto elétrico predial natal,Exact,https://servicos.sousacosta.com.br/servicos/projeto-multiplas-unidades-baixa-tensao/
SC | Ligação e Projetos,Prédios e múltiplas UCs,centro de medição prédio,Phrase,https://servicos.sousacosta.com.br/servicos/projeto-multiplas-unidades-baixa-tensao/
SC | Ligação e Projetos,Prédios e múltiplas UCs,centro de medição prédio,Exact,https://servicos.sousacosta.com.br/servicos/projeto-multiplas-unidades-baixa-tensao/
SC | Ligação e Projetos,Prédios e múltiplas UCs,entrada coletiva condomínio,Phrase,https://servicos.sousacosta.com.br/servicos/projeto-multiplas-unidades-baixa-tensao/
SC | Ligação e Projetos,Prédios e múltiplas UCs,entrada coletiva condomínio,Exact,https://servicos.sousacosta.com.br/servicos/projeto-multiplas-unidades-baixa-tensao/
SC | Ligação e Projetos,Prédios e múltiplas UCs,individualização de medição,Phrase,https://servicos.sousacosta.com.br/servicos/projeto-multiplas-unidades-baixa-tensao/
SC | Ligação e Projetos,Prédios e múltiplas UCs,individualização de medição,Exact,https://servicos.sousacosta.com.br/servicos/projeto-multiplas-unidades-baixa-tensao/
SC | Ligação e Projetos,Prédios e múltiplas UCs,projeto múltiplas unidades consumidoras,Phrase,https://servicos.sousacosta.com.br/servicos/projeto-multiplas-unidades-baixa-tensao/
SC | Ligação e Projetos,Prédios e múltiplas UCs,projeto múltiplas unidades consumidoras,Exact,https://servicos.sousacosta.com.br/servicos/projeto-multiplas-unidades-baixa-tensao/
SC | Ligação e Projetos,Prédios e múltiplas UCs,medição individual apartamento,Phrase,https://servicos.sousacosta.com.br/servicos/projeto-multiplas-unidades-baixa-tensao/
SC | Ligação e Projetos,Prédios e múltiplas UCs,medição individual apartamento,Exact,https://servicos.sousacosta.com.br/servicos/projeto-multiplas-unidades-baixa-tensao/
SC | Conta e Tarifa,Conta alta e revisão de fatura,revisão de conta de luz,Phrase,https://servicos.sousacosta.com.br/servicos/consultoria-de-faturamento/
SC | Conta e Tarifa,Conta alta e revisão de fatura,revisão de conta de luz,Exact,https://servicos.sousacosta.com.br/servicos/consultoria-de-faturamento/
SC | Conta e Tarifa,Conta alta e revisão de fatura,conta de energia muito alta,Phrase,https://servicos.sousacosta.com.br/servicos/consultoria-de-faturamento/
SC | Conta e Tarifa,Conta alta e revisão de fatura,conta de energia muito alta,Exact,https://servicos.sousacosta.com.br/servicos/consultoria-de-faturamento/
SC | Conta e Tarifa,Conta alta e revisão de fatura,cobrança indevida energia,Phrase,https://servicos.sousacosta.com.br/servicos/consultoria-de-faturamento/
SC | Conta e Tarifa,Conta alta e revisão de fatura,cobrança indevida energia,Exact,https://servicos.sousacosta.com.br/servicos/consultoria-de-faturamento/
SC | Conta e Tarifa,Conta alta e revisão de fatura,auditoria conta de energia empresa,Phrase,https://servicos.sousacosta.com.br/servicos/consultoria-de-faturamento/
SC | Conta e Tarifa,Conta alta e revisão de fatura,auditoria conta de energia empresa,Exact,https://servicos.sousacosta.com.br/servicos/consultoria-de-faturamento/
SC | Conta e Tarifa,Conta alta e revisão de fatura,contestar fatura de energia,Phrase,https://servicos.sousacosta.com.br/servicos/consultoria-de-faturamento/
SC | Conta e Tarifa,Conta alta e revisão de fatura,contestar fatura de energia,Exact,https://servicos.sousacosta.com.br/servicos/consultoria-de-faturamento/
SC | Conta e Tarifa,Conta alta e revisão de fatura,recuperação de consumo energia,Phrase,https://servicos.sousacosta.com.br/servicos/consultoria-de-faturamento/
SC | Conta e Tarifa,Conta alta e revisão de fatura,recuperação de consumo energia,Exact,https://servicos.sousacosta.com.br/servicos/consultoria-de-faturamento/
SC | Conta e Tarifa,Demanda e modalidade tarifária,alteração de demanda contratada,Phrase,https://servicos.sousacosta.com.br/servicos/alteracao-de-demanda/
SC | Conta e Tarifa,Demanda e modalidade tarifária,alteração de demanda contratada,Exact,https://servicos.sousacosta.com.br/servicos/alteracao-de-demanda/
SC | Conta e Tarifa,Demanda e modalidade tarifária,ultrapassagem de demanda,Phrase,https://servicos.sousacosta.com.br/servicos/alteracao-de-demanda/
SC | Conta e Tarifa,Demanda e modalidade tarifária,ultrapassagem de demanda,Exact,https://servicos.sousacosta.com.br/servicos/alteracao-de-demanda/
SC | Conta e Tarifa,Demanda e modalidade tarifária,demanda contratada grupo a,Phrase,https://servicos.sousacosta.com.br/servicos/alteracao-de-demanda/
SC | Conta e Tarifa,Demanda e modalidade tarifária,demanda contratada grupo a,Exact,https://servicos.sousacosta.com.br/servicos/alteracao-de-demanda/
SC | Conta e Tarifa,Demanda e modalidade tarifária,modalidade tarifária,Phrase,https://servicos.sousacosta.com.br/servicos/alteracao-de-demanda/
SC | Conta e Tarifa,Demanda e modalidade tarifária,modalidade tarifária,Exact,https://servicos.sousacosta.com.br/servicos/alteracao-de-demanda/
SC | Conta e Tarifa,Demanda e modalidade tarifária,tarifa verde ou azul,Phrase,https://servicos.sousacosta.com.br/servicos/alteracao-de-demanda/
SC | Conta e Tarifa,Demanda e modalidade tarifária,tarifa verde ou azul,Exact,https://servicos.sousacosta.com.br/servicos/alteracao-de-demanda/
SC | Conta e Tarifa,Demanda e modalidade tarifária,reduzir conta de energia empresa,Phrase,https://servicos.sousacosta.com.br/servicos/alteracao-de-demanda/
SC | Conta e Tarifa,Demanda e modalidade tarifária,reduzir conta de energia empresa,Exact,https://servicos.sousacosta.com.br/servicos/alteracao-de-demanda/
SC | Conta e Tarifa,Demanda e modalidade tarifária,tarifa branca vale a pena,Phrase,https://servicos.sousacosta.com.br/servicos/alteracao-de-demanda/
SC | Conta e Tarifa,Demanda e modalidade tarifária,tarifa branca vale a pena,Exact,https://servicos.sousacosta.com.br/servicos/alteracao-de-demanda/
SC | Conta e Tarifa,Titularidade e cadastro,alteração de titularidade energia,Phrase,https://servicos.sousacosta.com.br/servicos/alteracao-de-titularidade/
SC | Conta e Tarifa,Titularidade e cadastro,alteração de titularidade energia,Exact,https://servicos.sousacosta.com.br/servicos/alteracao-de-titularidade/
SC | Conta e Tarifa,Titularidade e cadastro,mudar titular conta de luz,Phrase,https://servicos.sousacosta.com.br/servicos/alteracao-de-titularidade/
SC | Conta e Tarifa,Titularidade e cadastro,mudar titular conta de luz,Exact,https://servicos.sousacosta.com.br/servicos/alteracao-de-titularidade/
SC | Conta e Tarifa,Titularidade e cadastro,transferir conta de energia,Phrase,https://servicos.sousacosta.com.br/servicos/alteracao-de-titularidade/
SC | Conta e Tarifa,Titularidade e cadastro,transferir conta de energia,Exact,https://servicos.sousacosta.com.br/servicos/alteracao-de-titularidade/
SC | Conta e Tarifa,Titularidade e cadastro,trocar nome da conta de luz,Phrase,https://servicos.sousacosta.com.br/servicos/alteracao-de-titularidade/
SC | Conta e Tarifa,Titularidade e cadastro,trocar nome da conta de luz,Exact,https://servicos.sousacosta.com.br/servicos/alteracao-de-titularidade/
SC | Conta e Tarifa,Titularidade e cadastro,alteração de dados cadastrais energia,Phrase,https://servicos.sousacosta.com.br/servicos/alteracao-de-titularidade/
SC | Conta e Tarifa,Titularidade e cadastro,alteração de dados cadastrais energia,Exact,https://servicos.sousacosta.com.br/servicos/alteracao-de-titularidade/
SC | Conta e Tarifa,Titularidade e cadastro,tarifa rural energia,Phrase,https://servicos.sousacosta.com.br/servicos/alteracao-de-titularidade/
SC | Conta e Tarifa,Titularidade e cadastro,tarifa rural energia,Exact,https://servicos.sousacosta.com.br/servicos/alteracao-de-titularidade/
